"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-11","11.41"," 2015"," 1640","1.03","0.0",,"70","80","60","   70","   30","32.0","42.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-12","9.62"," 0405"," 0241","0.17","0.0",,"57","61","52","   20","   20","17.9","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-13","3.80"," 2303"," 1248","0.00","0.0",,"59","66","52","  110","   10","8.1","12.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-14","10.29"," 2225"," 2224","0.00","0.0",,"58","67","49","  160","  150","17.9","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-15","14.32"," 2315"," 2317","0.94","0.0",,"67","77","57","  300","  260","47.0","64.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-16","9.17"," 0917"," 0944","0.09","0.0",,"63","70","55","  330","  310","21.0","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-17","5.59"," 1828"," 0921","0.00","0.0",,"65","76","53","  140","   60","10.1","13.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-18","13.20"," 1637"," 1649","0.00","0.0",,"73","85","61","  180","  170","25.1","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-19","17.22"," 2150"," 2149","0.00","0.0",,"78","83","72","  200","  200","28.0","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-20","12.97"," 0208"," 0208","0.00","0.0",,"68","78","58","  310","  310","32.0","36.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-21","7.83"," 1235"," 1234","0.00","0.0",,"64","75","52","   20","   20","17.0","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-22","10.51"," 1645"," 1327","0.08","0.0",,"65","78","52","  160","  190","23.0","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-23","17.67"," 1549"," 1548","0.00","0.0",,"77","88","65","  300","  310","30.0","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-24","9.17"," 0930"," 1639","0.00","0.0",,"69","78","59","   20","   10","17.9","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-25","2.91"," 1505"," 1329","0.00","0.0",,"70","82","57","  360","  340","10.1","16.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-26","5.82"," 2200"," 2201","0.00","0.0",,"72","85","59","  140","  130","13.0","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-27","8.50"," 0739"," 0717","0.08","0.0",,"68","74","61","   30","   20","23.9","30.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-28","7.16"," 1237"," 1647","0.00","0.0",,"67","80","53","   10","   20","14.1","16.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-29","11.18"," 0628"," 0627","0.05","0.0",,"72","84","59","  300","  310","30.0","36.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-04-30","16.55"," 2200"," 2200","1.65","0.0",,"71","79","62","  290","  290","36.9","47.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-01","10.29"," 0222"," 0233","0.21","0.0",,"69","76","62","  120","  120","32.0","38.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-02","6.71"," 2012"," 1354","0.10","0.0",,"66","76","56","  210","  250","15.0","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-05-03","6.49"," 1540"," 1354","0.64","0.0",,"67","75","59","  120","  130","13.0","16.1"
